Date,StateName,DistrictName,Avg Soilmoisture Level (at 15cm),Avg SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Perg (at 15cm),Volume Soilmoisture percg (at 15cm)
29-01-2020,MAHARASHTRA,WASHIM,0,572.62,0,21.54608014
29-01-2020,MAHARASHTRA,SATARA,0,631.03,0,11.65224181
29-01-2020,MAHARASHTRA,PUNE,0,1053.91,0,13.10151762
29-01-2020,MAHARASHTRA,PARBHANI,0,626.9,0,19.29235236
29-01-2020,MAHARASHTRA,JALNA,0,611.17,0,15.36284328
29-01-2020,MAHARASHTRA,GONDIYA,0,540.27,0,19.33929912
29-01-2020,MAHARASHTRA,MUMBAI,0,0.12,0,0.162200106
29-01-2020,MAHARASHTRA,NASHIK,0,725.06,0,9.112253045
29-01-2020,MAHARASHTRA,GARHCHIROLI,0,1215.12,0,16.42471797
29-01-2020,MAHARASHTRA,RATNAGIRI,0,465.8,0,10.922166
29-01-2020,MAHARASHTRA,OSMANABAD,0,581.39,0,14.93825156
29-01-2020,MAHARASHTRA,BID,0,854.88,0,15.08053492
29-01-2020,MAHARASHTRA,LATUR,0,559.5,0,16.1187787
29-01-2020,MAHARASHTRA,YAVATMAL,0,1247.01,0,18.01246363
29-01-2020,MAHARASHTRA,BHANDARA,0,393.91,0,19.99303127
29-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.76,0,2.480806938
29-01-2020,MAHARASHTRA,NANDURBAR,0,288.84,0,9.592697531
29-01-2020,MAHARASHTRA,NAGPUR,0,1330.8,0,26.26665243
29-01-2020,MAHARASHTRA,CHANDRAPUR,0,1239.3,0,21.42976037
29-01-2020,MAHARASHTRA,JALGAON,0,906.87,0,15.0838953
29-01-2020,MAHARASHTRA,HINGOLI,0,516.84,0,21.51187758
29-01-2020,MAHARASHTRA,AKOLA,0,499.41,0,18.07837135
29-01-2020,MAHARASHTRA,AURANGABAD,0,733.85,0,14.17632283
29-01-2020,MAHARASHTRA,DHULE,0,327.44,0,8.925428516
29-01-2020,MAHARASHTRA,KOLHAPUR,0,447.82,0,11.27127894
29-01-2020,MAHARASHTRA,RAIGARH,0,386.54,0,10.51046226
29-01-2020,MAHARASHTRA,AMRAVATI,0,1436.99,0,23.0574179
29-01-2020,MAHARASHTRA,NANDED,0,1375.44,0,25.30556935
29-01-2020,MAHARASHTRA,SOLAPUR,0,1286,0,16.74746242
29-01-2020,MAHARASHTRA,AHMADNAGAR,0,1135.44,0,12.98260304
29-01-2020,MAHARASHTRA,THANE,0,400.54,0,8.211521175
29-01-2020,MAHARASHTRA,SANGLI,0,611.71,0,13.82964081
29-01-2020,MAHARASHTRA,WARDHA,0,805.47,0,24.98896026
29-01-2020,MAHARASHTRA,BULDANA,0,751.62,0,15.07920606
29-01-2020,MAHARASHTRA,SINDHUDURG,0,284.79,0,10.82420739
28-01-2020,MAHARASHTRA,WASHIM,0,573.92,0,21.59510735
28-01-2020,MAHARASHTRA,SATARA,0,634.14,0,11.70966359
28-01-2020,MAHARASHTRA,PUNE,0,1060.72,0,13.18617376
28-01-2020,MAHARASHTRA,PARBHANI,0,633.24,0,19.48742249
28-01-2020,MAHARASHTRA,JALNA,0,614.87,0,15.45584386
28-01-2020,MAHARASHTRA,GONDIYA,0,538.22,0,19.26604423
28-01-2020,MAHARASHTRA,MUMBAI,0,0.65,0,0.842143807
28-01-2020,MAHARASHTRA,NASHIK,0,728.74,0,9.158512946
28-01-2020,MAHARASHTRA,GARHCHIROLI,0,1221.75,0,16.51439189
28-01-2020,MAHARASHTRA,RATNAGIRI,0,469.97,0,11.01998783
28-01-2020,MAHARASHTRA,OSMANABAD,0,584.22,0,15.01091162
28-01-2020,MAHARASHTRA,BID,0,857.67,0,15.12961154
28-01-2020,MAHARASHTRA,LATUR,0,561.45,0,16.17487619
28-01-2020,MAHARASHTRA,YAVATMAL,0,1254.45,0,18.11998741
28-01-2020,MAHARASHTRA,BHANDARA,0,395.57,0,20.07729113
28-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0,5.97,0,2.572153284
28-01-2020,MAHARASHTRA,NANDURBAR,0,293.27,0,9.740005377
28-01-2020,MAHARASHTRA,NAGPUR,0,1341.58,0,26.47945153
28-01-2020,MAHARASHTRA,CHANDRAPUR,0,1251.69,0,21.64400095
28-01-2020,MAHARASHTRA,JALGAON,0,914.34,0,15.20817102
28-01-2020,MAHARASHTRA,HINGOLI,0,527,0,21.9348575
28-01-2020,MAHARASHTRA,AKOLA,0,501.2,0,18.14304595
28-01-2020,MAHARASHTRA,AURANGABAD,0,737.75,0,14.2516237
28-01-2020,MAHARASHTRA,DHULE,0,331.69,0,9.041503388
