Date,StateName,DistrictName,Evapo Level (mm),Evapo Volume (Tmcft),Aggregate Evapo Level (mm),Aggregate Evapo Volume (Tmcft)
30-01-2020,MAHARASHTRA,AKOLA,0.274733021,0.050596034,0.137659588,0.025351992
30-01-2020,MAHARASHTRA,AURANGABAD,0.273887667,0.094519975,0.122156391,0.042156769
30-01-2020,MAHARASHTRA,DHULE,0.289078237,0.070700455,0.102375946,0.025038294
30-01-2020,MAHARASHTRA,KOLHAPUR,0.524619559,0.13895644,0.114774384,0.030400391
30-01-2020,MAHARASHTRA,RAIGARH,0.632011696,0.154955493,0.129589708,0.031772572
30-01-2020,MAHARASHTRA,AMRAVATI,0.321130055,0.133423395,0.143775636,0.059736027
30-01-2020,MAHARASHTRA,NANDED,0.459336756,0.166442724,0.181058721,0.065607436
30-01-2020,MAHARASHTRA,SOLAPUR,0.277618137,0.142117381,0.147619476,0.075568886
30-01-2020,MAHARASHTRA,AHMADNAGAR,0.261737286,0.152608404,0.13075906,0.076240309
30-01-2020,MAHARASHTRA,THANE,0.603733813,0.196325275,0.161886642,0.052643133
30-01-2020,MAHARASHTRA,SANGLI,0.28192338,0.083132775,0.130317056,0.038427528
30-01-2020,MAHARASHTRA,WARDHA,0.609717476,0.131021066,0.243777213,0.052384836
30-01-2020,MAHARASHTRA,BULDANA,0.250029459,0.083084646,0.123451781,0.041022956
30-01-2020,MAHARASHTRA,SINDHUDURG,1.043491272,0.183028642,0.438501673,0.076913308
29-01-2020,MAHARASHTRA,WASHIM,0.248759641,0.044074071,0.146117258,0.025888373
29-01-2020,MAHARASHTRA,SATARA,0.35415562,0.127862522,0.106267509,0.038366274
29-01-2020,MAHARASHTRA,PUNE,0.356661361,0.191270279,0.132527619,0.071071883
29-01-2020,MAHARASHTRA,PARBHANI,0.182005729,0.039427964,0.077083558,0.016698638
29-01-2020,MAHARASHTRA,JALNA,0.203763138,0.054041327,0.088933606,0.023586651
29-01-2020,MAHARASHTRA,GONDIYA,1.027042896,0.191278032,0.3102996,0.05779067
29-01-2020,MAHARASHTRA,MUMBAI,0.01519444,7.76E-05,0.000279962,1.43E-06
29-01-2020,MAHARASHTRA,NASHIK,0.269862509,0.143152526,0.125663136,0.066659854
29-01-2020,MAHARASHTRA,GARHCHIROLI,1.080504957,0.532912402,0.235696961,0.116247346
29-01-2020,MAHARASHTRA,RATNAGIRI,0.968672335,0.275409444,0.454760601,0.129295903
29-01-2020,MAHARASHTRA,OSMANABAD,0.258685943,0.06711969,0.117198688,0.030408841
29-01-2020,MAHARASHTRA,BID,0.219361116,0.08290079,0.105420549,0.039840455
29-01-2020,MAHARASHTRA,LATUR,0.200015871,0.046285439,0.098128989,0.022707915
29-01-2020,MAHARASHTRA,YAVATMAL,0.500878495,0.231172735,0.217862897,0.100551256
29-01-2020,MAHARASHTRA,BHANDARA,0.787975729,0.10350053,0.313923304,0.041233793
29-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.227478598,0.003520829,0.023011845,0.000356169
29-01-2020,MAHARASHTRA,NANDURBAR,0.335349918,0.067316628,0.13207149,0.026511435
29-01-2020,MAHARASHTRA,NAGPUR,0.805112417,0.271940321,0.278344765,0.094015647
29-01-2020,MAHARASHTRA,CHANDRAPUR,0.903197673,0.348218588,0.3590066,0.138411308
29-01-2020,MAHARASHTRA,JALGAON,0.216423394,0.08674518,0.08200462,0.032868469
29-01-2020,MAHARASHTRA,HINGOLI,0.304428755,0.04876064,0.121633756,0.019482193
29-01-2020,MAHARASHTRA,AKOLA,0.262217069,0.048291042,0.130982404,0.024122292
29-01-2020,MAHARASHTRA,AURANGABAD,0.257938725,0.089015917,0.114583435,0.039543305
29-01-2020,MAHARASHTRA,DHULE,0.264093314,0.064589842,0.093535722,0.022876223
29-01-2020,MAHARASHTRA,KOLHAPUR,0.519918093,0.137711158,0.113290333,0.030007309
29-01-2020,MAHARASHTRA,RAIGARH,0.589869715,0.144623198,0.120506477,0.029545562
29-01-2020,MAHARASHTRA,AMRAVATI,0.322110757,0.133830858,0.143855654,0.059769272
29-01-2020,MAHARASHTRA,NANDED,0.452750857,0.164056295,0.17734721,0.064262553
29-01-2020,MAHARASHTRA,SOLAPUR,0.282669012,0.144703009,0.149502454,0.076532814
29-01-2020,MAHARASHTRA,AHMADNAGAR,0.24033484,0.140129505,0.121138831,0.070631143
29-01-2020,MAHARASHTRA,THANE,0.489203616,0.159081755,0.123665449,0.040214169
29-01-2020,MAHARASHTRA,SANGLI,0.291680383,0.086009893,0.135571306,0.039976886
29-01-2020,MAHARASHTRA,WARDHA,0.659287303,0.141673035,0.264099426,0.056751839
29-01-2020,MAHARASHTRA,BULDANA,0.231989362,0.077089932,0.114004339,0.037883576
29-01-2020,MAHARASHTRA,SINDHUDURG,1.045337949,0.183352549,0.439137917,0.077024905
28-01-2020,MAHARASHTRA,WASHIM,0.285024393,0.05049929,0.167691586,0.029710812
28-01-2020,MAHARASHTRA,SATARA,0.360608919,0.130192388,0.109340173,0.039475613
28-01-2020,MAHARASHTRA,PUNE,0.366591687,0.196595712,0.137700244,0.073845858
28-01-2020,MAHARASHTRA,PARBHANI,0.211100284,0.045730728,0.090118245,0.019522347
28-01-2020,MAHARASHTRA,JALNA,0.219969039,0.058339397,0.096261344,0.025530087
28-01-2020,MAHARASHTRA,GONDIYA,1.072091218,0.1996679,0.32554066,0.060629188
28-01-2020,MAHARASHTRA,MUMBAI,0.014309701,7.31E-05,0.000268474,0.000001371
28-01-2020,MAHARASHTRA,NASHIK,0.283748467,0.150518536,0.135115227,0.071673854
28-01-2020,MAHARASHTRA,GARHCHIROLI,1.055852671,0.520753727,0.229059187,0.112973551
28-01-2020,MAHARASHTRA,RATNAGIRI,0.91874279,0.261213655,0.419560071,0.119287815
28-01-2020,MAHARASHTRA,OSMANABAD,0.279984553,0.072645913,0.12683657,0.032909524
28-01-2020,MAHARASHTRA,BID,0.233899256,0.088395033,0.112273696,0.042430392
28-01-2020,MAHARASHTRA,LATUR,0.226498355,0.05241372,0.111216099,0.025736388
28-01-2020,MAHARASHTRA,YAVATMAL,0.564033951,0.260321161,0.247073575,0.114032993
28-01-2020,MAHARASHTRA,BHANDARA,0.841088546,0.110476893,0.335264441,0.04403695
28-01-2020,MAHARASHTRA,MUMBAI SUBURBAN,0.226616625,0.003507487,0.023063066,0.000356962
28-01-2020,MAHARASHTRA,NANDURBAR,0.365536411,0.073376129,0.143465198,0.028798556
28-01-2020,MAHARASHTRA,NAGPUR,0.885521562,0.299099868,0.304069974,0.102704771
28-01-2020,MAHARASHTRA,CHANDRAPUR,0.91130931,0.351345946,0.360629585,0.139037033
28-01-2020,MAHARASHTRA,JALGAON,0.237318538,0.095120213,0.090350402,0.036213562
28-01-2020,MAHARASHTRA,HINGOLI,0.349073454,0.055911423,0.139551326,0.022352067
28-01-2020,MAHARASHTRA,AKOLA,0.291873207,0.053752646,0.146131688,0.026912251
28-01-2020,MAHARASHTRA,AURANGABAD,0.271627886,0.093740114,0.121540119,0.04194409
28-01-2020,MAHARASHTRA,DHULE,0.285694452,0.069872876,0.100915246,0.024681048
28-01-2020,MAHARASHTRA,KOLHAPUR,0.484126415,0.128230985,0.104581143,0.027700498
28-01-2020,MAHARASHTRA,RAIGARH,0.58320701,0.142989648,0.118475941,0.029047718
28-01-2020,MAHARASHTRA,AMRAVATI,0.367040386,0.15249826,0.165123297,0.068605571
28-01-2020,MAHARASHTRA,NANDED,0.517338079,0.187459763,0.202563276,0.073399707
28-01-2020,MAHARASHTRA,SOLAPUR,0.30866468,0.158010628,0.162575297,0.083225022
28-01-2020,MAHARASHTRA,AHMADNAGAR,0.265900134,0.155035591,0.133578755,0.077884358
28-01-2020,MAHARASHTRA,THANE,0.477320383,0.155217504,0.119201938,0.038762701
28-01-2020,MAHARASHTRA,SANGLI,0.300029649,0.088471901,0.13984337,0.04123662
28-01-2020,MAHARASHTRA,WARDHA,0.717737104,0.154233205,0.28643998,0.06155256
28-01-2020,MAHARASHTRA,BULDANA,0.239939629,0.079731801,0.117356307,0.038997433
28-01-2020,MAHARASHTRA,SINDHUDURG,0.992745996,0.174127907,0.410410941,0.071986186
27-01-2020,MAHARASHTRA,WASHIM,0.329114984,0.058311055,0.193475143,0.034279022
27-01-2020,MAHARASHTRA,SATARA,0.420349824,0.151760936,0.131193135,0.047365294
27-01-2020,MAHARASHTRA,PUNE,0.448585688,0.240567437,0.169589558,0.090947452
27-01-2020,MAHARASHTRA,PARBHANI,0.267763732,0.05800575,0.113739722,0.024639475
27-01-2020,MAHARASHTRA,JALNA,0.314440677,0.083394826,0.136818541,0.036286521
27-01-2020,MAHARASHTRA,GONDIYA,0.966704588,0.180040534,0.29989836,0.055853527
27-01-2020,MAHARASHTRA,MUMBAI,0.016986737,0.000086744,0.000325133,1.66E-06
27-01-2020,MAHARASHTRA,NASHIK,0.364399799,0.193301218,0.175603672,0.093151544
27-01-2020,MAHARASHTRA,GARHCHIROLI,1.097529058,0.541308805,0.236889326,0.116835429
